Category,Face numbers,Vertex numbers,Bounding Box Diagonal Size,Types of faces
Airplane,10796,5400,1.8365336914960204,{'3': 10796}
Airplane,11234,5619,1.996836498063875,{'3': 11234}
Airplane,11034,5519,2.023543920946615,{'3': 11034}
Airplane,13590,6797,1.9673261041322052,{'3': 13590}
Airplane,12892,6448,1.9443957930421472,{'3': 12892}
Airplane,15474,7739,1.8660348335441115,{'3': 15474}
Airplane,15298,7651,1.965414714506839,{'3': 15298}
Airplane,11162,5583,1.8917824927829308,{'3': 11162}
Airplane,13398,6701,1.922697584124971,{'3': 13398}
Airplane,11258,5631,1.895873413495743,{'3': 11258}
Airplane,11694,5849,2.006322506477959,{'3': 11694}
Airplane,10452,5228,1.9506896216466627,{'3': 10452}
Airplane,10214,5109,1.9828517342454024,{'3': 10214}
Airplane,10084,5044,1.9273087453752706,{'3': 10084}
Airplane,17354,8679,1.9249927272589888,{'3': 17354}
Airplane,11842,5923,1.9399701028624128,{'3': 11842}
Airplane,13170,6587,1.9963972550572193,{'3': 13170}
Airplane,14936,7470,2.058197998249925,{'3': 14936}
Airplane,13374,6689,2.02411363317379,{'3': 13374}
Airplane,14698,7351,2.002193047635517,{'3': 14698}
Ant,16124,8064,1.8732343686789437,{'3': 16124}
Ant,12736,6370,1.8582228068775821,{'3': 12736}
Ant,16594,8299,1.9652330650586969,{'3': 16594}
Ant,12748,6376,1.8931568873181115,{'3': 12748}
Ant,13696,6850,1.8880786530226965,{'3': 13696}
Ant,16772,8388,1.8579636702583826,{'3': 16772}
Ant,14072,7038,1.8173095498566005,{'3': 14072}
Ant,14936,7470,1.9804719134590119,{'3': 14936}
Ant,16416,8210,2.0855622743039826,{'3': 16416}
Ant,15304,7654,1.8636649376966878,{'3': 15304}
Ant,15750,7877,1.9413974348391418,{'3': 15750}
Ant,17276,8640,1.958691399889222,{'3': 17276}
Ant,11730,5867,1.8553204574951465,{'3': 11730}
Ant,16432,8216,2.0237502316244464,{'3': 16432}
Ant,14468,7236,1.9592697619266215,{'3': 14468}
Ant,14706,7355,1.8550229109097278,{'3': 14706}
Ant,17004,8504,1.9530192011344896,{'3': 17004}
Ant,16330,8167,1.778067490282638,{'3': 16330}
Ant,12304,6154,1.882834830780438,{'3': 12304}
Ant,13758,6881,1.9437754499941604,{'3': 13758}
Armadillo,50542,25273,1.9253781446770397,{'3': 50542}
Armadillo,48942,24473,1.8568096294450867,{'3': 48942}
Armadillo,48964,24484,1.9236707098669459,{'3': 48964}
Armadillo,50984,25494,1.9985887520948376,{'3': 50984}
Armadillo,50382,25193,2.003583290008179,{'3': 50382}
Armadillo,50212,25108,1.9942015946237732,{'3': 50212}
Armadillo,50978,25491,2.060844972335377,{'3': 50978}
Armadillo,39996,20000,2.080582370395366,{'3': 39996}
Armadillo,50418,25211,2.1847269852317934,{'3': 50418}
Armadillo,50858,25431,1.9316808742646907,{'3': 50858}
Armadillo,49226,24615,1.930788957913319,{'3': 49226}
Armadillo,43544,21774,1.9421367099151388,{'3': 43544}
Armadillo,29996,15000,1.8607463556325994,{'3': 29996}
Armadillo,32998,16501,1.8605450814210336,{'3': 32998}
Armadillo,33556,16780,1.9136619346164567,{'3': 33556}
Armadillo,31660,15832,1.9366935741102669,{'3': 31660}
Armadillo,30626,15315,1.9543418329453013,{'3': 30626}
Armadillo,29996,15000,2.049742666775515,{'3': 29996}
Armadillo,34230,17117,2.088352939519563,{'3': 34230}
Armadillo,34902,17453,2.1606790599253745,{'3': 34902}
Bearing,3322,1663,1.5706861557930663,{'3': 3322}
Bearing,3322,1663,1.7481175589759403,{'3': 3322}
Bearing,3322,1663,1.7157351194167474,{'3': 3322}
Bearing,6360,3182,1.5077861254169969,{'3': 6360}
Bearing,7224,3614,1.5105442727705798,{'3': 7224}
Bearing,7170,3587,1.5116811833187578,{'3': 7170}
Bearing,5242,2623,1.7852232353406114,{'3': 5242}
Bearing,5132,2568,1.148029180813798,{'3': 5132}
Bearing,5132,2568,1.5147247274670075,{'3': 5132}
Bearing,17514,8759,1.557187849939756,{'3': 17514}
Bearing,10380,5192,1.6997208594354545,{'3': 10380}
Bearing,20796,10400,1.5994392767466978,{'3': 20796}
Bearing,3020,1512,1.6093868397622741,{'3': 3020}
Bearing,5816,2910,1.3816153589186826,{'3': 5816}
Bearing,29984,14994,1.5768084855175026,{'3': 29984}
Bearing,29980,14992,1.576860488438974,{'3': 29980}
Bearing,29764,14872,1.538885635776746,{'3': 29764}
Bearing,28266,14127,1.773095880092219,{'3': 28266}
Bearing,29924,14956,1.7758845683208129,{'3': 29924}
Bearing,4396,2200,0.5169709856461966,{'3': 4396}
Bird,6952,3478,1.9142539016546367,{'3': 6952}
Bird,15694,7849,1.9797484688717404,{'3': 15694}
Bird,6312,3158,1.7515533106360195,{'3': 6312}
Bird,8998,4501,1.7799162901664787,{'3': 8998}
Bird,12946,6475,1.9606470870608,{'3': 12946}
Bird,8434,4219,1.7728398122785938,{'3': 8434}
Bird,11034,5519,1.8935041589603125,{'3': 11034}
Bird,23576,11790,1.9719500500773341,{'3': 23576}
Bird,7424,3714,1.8217727629976248,{'3': 7424}
Bird,8556,4280,1.8584079207751996,{'3': 8556}
Bird,6312,3158,1.7515533106360195,{'3': 6312}
Bird,12698,6351,1.890216654248925,{'3': 12698}
Bird,12324,6164,1.9787008364075658,{'3': 12324}
Bird,7272,3638,1.7767132576755316,{'3': 7272}
Bird,10104,5054,1.879807170961958,{'3': 10104}
Bird,11936,5970,2.095243661248018,{'3': 11936}
Bird,4266,2135,1.7726243256821226,{'3': 4266}
Bird,17888,8946,2.015017865925759,{'3': 17888}
Bird,18026,9015,2.006913052426537,{'3': 18026}
Bird,4990,2497,1.8360615458093992,{'3': 4990}
Bust,18500,9252,1.9229347362820195,{'3': 18500}
Bust,50246,25125,2.0377458133928283,{'3': 50246}
Bust,31028,15516,1.8664712695351087,{'3': 31028}
Bust,50930,25467,1.9343732835210479,{'3': 50930}
Bust,55644,27824,2.1347957747756574,{'3': 55644}
Bust,53592,26798,1.9848496164697214,{'3': 53592}
Bust,54874,27439,2.2764617282089326,{'3': 54874}
Bust,47948,23976,2.2561325315681255,{'3': 47948}
Bust,10390,5197,1.9226819809838547,{'3': 10390}
