Category,Face numbers,Vertex numbers,Bounding Box Diagonal Size,Types of faces
animal,492,298,1.4457143562958763,{'3': 492}
animal,410,255,1.3075549701637785,{'3': 410}
animal,2628,1362,1.42005175962005,{'3': 2628}
animal,31432,16049,1.370726084963732,{'3': 31432}
animal,462,233,1.4013818180638709,{'3': 462}
animal,260,146,1.4546587228625139,{'3': 260}
animal,690,346,1.33128509343416,{'3': 690}
animal,6052,3051,1.4324597725590762,{'3': 6052}
animal,22258,11105,1.445568746203376,{'3': 22258}
animal,2520,1288,1.482839505813087,{'3': 2520}
animal,724,368,1.2288539376182999,{'3': 724}
animal,902,453,1.4456655906536615,{'3': 902}
animal,2442,1238,1.411599093227252,{'3': 2442}
animal,15294,7691,1.5788673155145114,{'3': 15294}
animal,888,472,1.1752263611747313,{'3': 888}
animal,500,278,1.356840447510318,{'3': 500}
animal,870,467,1.1812158989786752,{'3': 870}
animal,830,443,1.2072936676716233,{'3': 830}
animal,862,473,1.197223872130856,{'3': 862}
animal,1018,577,1.1549177459888649,{'3': 1018}
animal,853,458,1.1949037618151512,{'3': 853}
animal,1087,491,1.27702897382949,{'3': 1087}
animal,1864,1025,1.1707087596836372,{'3': 1864}
animal,4049,2537,1.1831660914681421,{'3': 4049}
animal,3615,1962,1.1500204346010552,{'3': 3615}
animal,869,469,1.181822744746436,{'3': 869}
animal,14776,7401,1.238748965690789,{'3': 14776}
animal,1678,891,1.5458052917492553,{'3': 1678}
animal,18110,9061,1.2324065887522673,{'3': 18110}
animal,16329,9242,1.285354036831876,{'3': 16329}
animal,1302,676,1.1986534111243334,{'3': 1302}
animal,3460,2244,1.2870485616323883,{'3': 3460}
animal,7707,3964,1.2868492530207258,{'3': 7707}
animal,724,368,1.3493576249460333,{'3': 724}
animal,3012,2001,1.2336936410632908,{'3': 3012}
animal,20512,10694,1.2348372362380395,{'3': 20512}
animal,730,445,1.2066494934321235,{'3': 730}
animal,33324,16776,1.23317435912364,{'3': 33324}
animal,935,521,1.2270798670013292,{'3': 935}
animal,1627,894,1.2953362497822718,{'3': 1627}
animal,6988,3581,1.228870212837792,{'3': 6988}
animal,1396,728,1.1956048678388693,{'3': 1396}
animal,1698,476,1.2318222274338126,{'3': 1698}
animal,5476,2640,1.2269910350120738,{'3': 5476}
animal,32042,16052,1.1845513918779547,{'3': 32042}
animal,1413,745,1.1728934307941195,{'3': 1413}
animal,2308,1196,1.2407646835721913,{'3': 2308}
animal,1288,708,1.2358648793456346,{'3': 1288}
animal,29202,14603,1.1945375674293377,{'3': 29202}
animal,29520,15088,1.1712032274545694,{'3': 29520}
